rank,industry,data_date,composite_score,capital_momentum,capital_momentum_score,tech_activity,tech_activity_score,external_signal_score,available_weight,ranking_status,scoring_mode,market_return_3m,market_return_3m_status,market_return_3m_growth_rate_4w,market_return_3m_momentum_status,market_return_3m_score,market_return_3m_score_source,market_return_4w,market_return_4w_status,market_return_4w_growth_rate_4w,market_return_4w_momentum_status,market_return_4w_score,market_return_4w_score_source,arxiv_paper_count_4w,arxiv_paper_count_4w_status,arxiv_paper_count_4w_growth_rate_4w,arxiv_paper_count_4w_momentum_status,arxiv_paper_count_4w_score,arxiv_paper_count_4w_score_source,github_repo_count_4w,github_repo_count_4w_status,github_repo_count_4w_growth_rate_4w,github_repo_count_4w_momentum_status,github_repo_count_4w_score,github_repo_count_4w_score_source,market_volume_change_4w,market_volume_change_4w_status,market_volume_change_4w_growth_rate_4w,market_volume_change_4w_momentum_status,nvd_cve_count_4w,nvd_cve_count_4w_status,nvd_cve_count_4w_growth_rate_4w,nvd_cve_count_4w_momentum_status,excluded_metrics,insufficient_metrics,auxiliary_metrics,missing_metrics,data_status
,人工智能,2026-07-12,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.254250619416914,ok,,insufficient_history,,unavailable,-0.0467318449652074,ok,,insufficient_history,,unavailable,4848.0,ok,,insufficient_history,,unavailable,4412.0,ok,,insufficient_history,,unavailable,0.0040620073064938,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,低空经济,2026-07-12,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.0003120574671506,ok,,insufficient_history,,unavailable,-0.0889710358431901,ok,,insufficient_history,,unavailable,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.0854217800225832,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,储能,2026-07-12,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,-0.1010410058933919,ok,,insufficient_history,,unavailable,-0.133923324813468,ok,,insufficient_history,,unavailable,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.5266258557135335,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,医药健康,2026-07-12,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.0535763202484316,ok,,insufficient_history,,unavailable,0.0461878853616517,ok,,insufficient_history,,unavailable,8.0,ok,,insufficient_history,,unavailable,,missing_config,,missing_config,,unavailable,2.3301240005937265,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,半导体,2026-07-12,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.378242509911467,ok,,insufficient_history,,unavailable,-0.0557409174005946,ok,,insufficient_history,,unavailable,267.0,ok,,insufficient_history,,unavailable,2098.0,ok,,insufficient_history,,unavailable,0.0580696888265725,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,新能源汽车,2026-07-12,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.0889063590702075,ok,,insufficient_history,,unavailable,-0.0996256914527398,ok,,insufficient_history,,unavailable,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.181846958723798,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,旅游,2026-07-12,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.1063804620173765,ok,,insufficient_history,,unavailable,0.0397311049828457,ok,,insufficient_history,,unavailable,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.5221603793032363,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,机器人,2026-07-12,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.1037785396795492,ok,,insufficient_history,,unavailable,-0.0264053517682762,ok,,insufficient_history,,unavailable,1352.0,ok,,insufficient_history,,unavailable,8796.0,ok,,insufficient_history,,unavailable,-0.3467130257234189,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,消费零售,2026-07-12,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,-0.1474935860694244,ok,,insufficient_history,,unavailable,-0.0284391407703623,ok,,insufficient_history,,unavailable,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.318399946306923,ok,,insufficient_history,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
,物流供应链,2026-07-12,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.0792706950209591,ok,,insufficient_history,,unavailable,0.0036964075462222,ok,,insufficient_history,,unavailable,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,,insufficient_data,,insufficient_data,,missing_config,,missing_config,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_data; nvd_cve_count_4w:missing_config
,网络安全,2026-07-12,,,,,,,0.0,insufficient_history,历史数据不足，暂不排名,0.4552779390000849,ok,,insufficient_history,,unavailable,0.0659442234489238,ok,,insufficient_history,,unavailable,,missing_config,,missing_config,,unavailable,10851.0,ok,,insufficient_history,,unavailable,-0.1572108916045297,ok,,insufficient_history,7021.0,ok,,insufficient_history,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,market_return_3m;market_return_4w;arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:insufficient_history
