industry,date,metric,value,source,status
人工智能,2026-06-09,news_heat,1.0,Google News 中文科技,ok
人工智能,2026-06-18,market_return_3m,0.3767519048130834,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-06-18,market_return_4w,0.0635249417485841,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-06-18,market_volume_change_4w,0.6266076144639983,Global X Artificial Intelligence & Technology ETF (AIQ),ok
低空经济,2026-06-18,market_return_3m,0.1279374041034391,ARK Space Exploration & Innovation ETF (ARKX),ok
低空经济,2026-06-18,market_return_4w,-0.0242799785463654,ARK Space Exploration & Innovation ETF (ARKX),ok
低空经济,2026-06-18,market_volume_change_4w,1.503414091803346,ARK Space Exploration & Innovation ETF (ARKX),ok
储能,2026-06-18,market_return_3m,0.1483021028683455,Amplify Lithium & Battery Technology ETF (BATT),ok
储能,2026-06-18,market_return_4w,-0.0083781805696523,Amplify Lithium & Battery Technology ETF (BATT),ok
储能,2026-06-18,market_volume_change_4w,-0.2327740426521638,Amplify Lithium & Battery Technology ETF (BATT),ok
医药健康,2026-06-18,market_return_3m,0.0225052854796738,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-06-18,market_return_4w,-0.0110246992153457,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-06-18,market_volume_change_4w,1.2312242055839495,iShares Global Healthcare ETF (IXJ),ok
半导体,2026-06-18,market_return_3m,0.6861202718260424,VanEck Semiconductor ETF (SMH),ok
半导体,2026-06-18,market_return_4w,0.1449888889794965,VanEck Semiconductor ETF (SMH),ok
半导体,2026-06-18,market_volume_change_4w,0.0869218847318182,VanEck Semiconductor ETF (SMH),ok
新能源汽车,2026-06-18,market_return_3m,0.3268836929258207,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-06-18,market_return_4w,-0.0071277863671278,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-06-18,market_volume_change_4w,-0.0215097390751015,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
旅游,2026-06-18,market_return_3m,0.1063816925460872,Amplify Travel Tech ETF (AWAY),ok
旅游,2026-06-18,market_return_4w,0.0947489954078271,Amplify Travel Tech ETF (AWAY),ok
旅游,2026-06-18,market_volume_change_4w,0.8129542368820382,Amplify Travel Tech ETF (AWAY),ok
机器人,2026-06-18,market_return_3m,0.2241992882562278,ROBO Global Robotics and Automation Index ETF (ROBO),ok
机器人,2026-06-18,market_return_4w,-0.0148912142762134,ROBO Global Robotics and Automation Index ETF (ROBO),ok
机器人,2026-06-18,market_volume_change_4w,0.5062806454830764,ROBO Global Robotics and Automation Index ETF (ROBO),ok
消费零售,2026-06-18,market_return_3m,-0.1406010412394444,Global X MSCI China Consumer Discretionary ETF (CHIQ),ok
消费零售,2026-06-18,market_return_4w,-0.090565955090215,Global X MSCI China Consumer Discretionary ETF (CHIQ),ok
消费零售,2026-06-18,market_volume_change_4w,0.3823905024863909,Global X MSCI China Consumer Discretionary ETF (CHIQ),ok
物流供应链,2026-06-18,market_return_3m,0.1025463454653918,Pacer Industrials and Logistics ETF (SHPP),ok
物流供应链,2026-06-18,market_return_4w,-0.0108618005374506,Pacer Industrials and Logistics ETF (SHPP),ok
物流供应链,2026-06-18,market_volume_change_4w,,Pacer Industrials and Logistics ETF (SHPP),insufficient_data
网络安全,2026-06-18,market_return_3m,0.302877015119888,First Trust NASDAQ Cybersecurity ETF (CIBR),ok
网络安全,2026-06-18,market_return_4w,0.0030849803037056,First Trust NASDAQ Cybersecurity ETF (CIBR),ok
网络安全,2026-06-18,market_volume_change_4w,0.2350675890189326,First Trust NASDAQ Cybersecurity ETF (CIBR),ok
跨境电商,2026-06-18,market_return_3m,-0.0446995295168388,EMQQ The Emerging Markets Internet & Ecommerce ETF (EMQQ),ok
跨境电商,2026-06-18,market_return_4w,-0.0228606671466169,EMQQ The Emerging Markets Internet & Ecommerce ETF (EMQQ),ok
跨境电商,2026-06-18,market_volume_change_4w,0.2919899349968546,EMQQ The Emerging Markets Internet & Ecommerce ETF (EMQQ),ok
半导体,2026-06-19,news_heat,1.0,Google News 中文科技,ok
跨境电商,2026-06-19,news_heat,1.0,Google News 中文科技,ok
人工智能,2026-06-20,news_heat,11.0,Google News 中文科技,ok
医药健康,2026-06-20,news_heat,2.0,Google News 中文科技,ok
半导体,2026-06-20,news_heat,3.0,Google News 中文科技,ok
旅游,2026-06-20,news_heat,2.0,Google News 中文科技,ok
机器人,2026-06-20,news_heat,1.0,Google News 中文科技,ok
物流供应链,2026-06-20,news_heat,3.0,Google News 中文科技,ok
跨境电商,2026-06-20,news_heat,1.0,Google News 中文科技,ok
人工智能,2026-06-21,arxiv_paper_count_4w,6276.0,arXiv API,ok
人工智能,2026-06-21,github_repo_count_4w,4109.0,GitHub Search API,ok
人工智能,2026-06-21,nvd_cve_count_4w,,NVD CVE API,missing_config
人工智能,2026-06-21,policy_heat,,configured_sources,missing_config
低空经济,2026-06-21,arxiv_paper_count_4w,,arXiv API,missing_config
低空经济,2026-06-21,github_repo_count_4w,,GitHub Search API,missing_config
低空经济,2026-06-21,news_heat,0.0,Google News 中文科技,no_match
低空经济,2026-06-21,nvd_cve_count_4w,,NVD CVE API,missing_config
低空经济,2026-06-21,policy_heat,,configured_sources,missing_config
储能,2026-06-21,arxiv_paper_count_4w,,arXiv API,missing_config
储能,2026-06-21,github_repo_count_4w,,GitHub Search API,missing_config
储能,2026-06-21,news_heat,0.0,Google News 中文科技,no_match
储能,2026-06-21,nvd_cve_count_4w,,NVD CVE API,missing_config
储能,2026-06-21,policy_heat,,configured_sources,missing_config
医药健康,2026-06-21,arxiv_paper_count_4w,14.0,arXiv API,ok
医药健康,2026-06-21,github_repo_count_4w,,GitHub Search API,missing_config
医药健康,2026-06-21,nvd_cve_count_4w,,NVD CVE API,missing_config
医药健康,2026-06-21,policy_heat,,configured_sources,missing_config
半导体,2026-06-21,arxiv_paper_count_4w,250.0,arXiv API,ok
半导体,2026-06-21,github_repo_count_4w,2066.0,GitHub Search API,ok
半导体,2026-06-21,nvd_cve_count_4w,,NVD CVE API,missing_config
半导体,2026-06-21,policy_heat,,configured_sources,missing_config
新能源汽车,2026-06-21,arxiv_paper_count_4w,,arXiv API,missing_config
新能源汽车,2026-06-21,github_repo_count_4w,,GitHub Search API,missing_config
新能源汽车,2026-06-21,news_heat,0.0,Google News 中文科技,no_match
新能源汽车,2026-06-21,nvd_cve_count_4w,,NVD CVE API,missing_config
新能源汽车,2026-06-21,policy_heat,,configured_sources,missing_config
旅游,2026-06-21,arxiv_paper_count_4w,,arXiv API,missing_config
旅游,2026-06-21,github_repo_count_4w,,GitHub Search API,missing_config
旅游,2026-06-21,nvd_cve_count_4w,,NVD CVE API,missing_config
旅游,2026-06-21,policy_heat,,configured_sources,missing_config
机器人,2026-06-21,arxiv_paper_count_4w,1449.0,arXiv API,ok
机器人,2026-06-21,github_repo_count_4w,8145.0,GitHub Search API,ok
机器人,2026-06-21,nvd_cve_count_4w,,NVD CVE API,missing_config
机器人,2026-06-21,policy_heat,,configured_sources,missing_config
消费零售,2026-06-21,arxiv_paper_count_4w,,arXiv API,missing_config
消费零售,2026-06-21,github_repo_count_4w,,GitHub Search API,missing_config
消费零售,2026-06-21,news_heat,0.0,Google News 中文科技,no_match
消费零售,2026-06-21,nvd_cve_count_4w,,NVD CVE API,missing_config
消费零售,2026-06-21,policy_heat,,configured_sources,missing_config
物流供应链,2026-06-21,arxiv_paper_count_4w,,arXiv API,missing_config
物流供应链,2026-06-21,github_repo_count_4w,,GitHub Search API,missing_config
物流供应链,2026-06-21,nvd_cve_count_4w,,NVD CVE API,missing_config
物流供应链,2026-06-21,policy_heat,,configured_sources,missing_config
网络安全,2026-06-21,arxiv_paper_count_4w,,arXiv API,missing_config
网络安全,2026-06-21,github_repo_count_4w,10556.0,GitHub Search API,ok
网络安全,2026-06-21,news_heat,0.0,Google News 中文科技,no_match
网络安全,2026-06-21,nvd_cve_count_4w,7232.0,NVD CVE API,ok
网络安全,2026-06-21,policy_heat,,configured_sources,missing_config
跨境电商,2026-06-21,arxiv_paper_count_4w,,arXiv API,missing_config
跨境电商,2026-06-21,github_repo_count_4w,,GitHub Search API,missing_config
跨境电商,2026-06-21,nvd_cve_count_4w,,NVD CVE API,missing_config
跨境电商,2026-06-21,policy_heat,,configured_sources,missing_config
