rank,industry,data_date,composite_score,capital_momentum,capital_momentum_score,tech_activity,tech_activity_score,external_signal_score,available_weight,ranking_status,scoring_mode,market_return_3m,market_return_3m_status,market_return_3m_growth_rate_4w,market_return_3m_momentum_status,market_return_3m_score,market_return_3m_score_source,market_return_4w,market_return_4w_status,market_return_4w_growth_rate_4w,market_return_4w_momentum_status,market_return_4w_score,market_return_4w_score_source,arxiv_paper_count_4w,arxiv_paper_count_4w_status,arxiv_paper_count_4w_growth_rate_4w,arxiv_paper_count_4w_momentum_status,arxiv_paper_count_4w_score,arxiv_paper_count_4w_score_source,github_repo_count_4w,github_repo_count_4w_status,github_repo_count_4w_growth_rate_4w,github_repo_count_4w_momentum_status,github_repo_count_4w_score,github_repo_count_4w_score_source,market_volume_change_4w,market_volume_change_4w_status,market_volume_change_4w_growth_rate_4w,market_volume_change_4w_momentum_status,nvd_cve_count_4w,nvd_cve_count_4w_status,nvd_cve_count_4w_growth_rate_4w,nvd_cve_count_4w_momentum_status,excluded_metrics,insufficient_metrics,auxiliary_metrics,missing_metrics,data_status
1,网络安全,2026-06-26,88.33333333333333,66.66666666666667,66.66666666666667,100.0,100.0,,1.0,trial,试运行评分模式,0.3762132324748894,ok,,insufficient_history,83.33333333333334,latest_value,-0.0604222506525128,ok,,insufficient_history,50.0,latest_value,,missing_config,,missing_config,,unavailable,10545.0,ok,,insufficient_history,100.0,latest_value,0.0521998378689865,ok,,insufficient_history,6785.0,ok,,insufficient_history,,arxiv_paper_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:insufficient_history
2,人工智能,2026-06-26,76.45833333333333,79.16666666666666,79.16666666666666,75.0,75.0,,1.0,trial,试运行评分模式,0.4332291660277603,ok,,insufficient_history,91.66666666666666,latest_value,-0.0466428907290956,ok,,insufficient_history,66.66666666666666,latest_value,5656.0,ok,,insufficient_history,100.0,latest_value,4177.0,ok,,insufficient_history,50.0,latest_value,0.7373997427483139,ok,,insufficient_history,,missing_config,,missing_config,,,market_volume_change_4w;nvd_cve_count_4w,,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
3,旅游,2026-06-26,70.83333333333334,70.83333333333334,70.83333333333334,,,,0.35,trial,试运行评分模式,0.1445161142656881,ok,,insufficient_history,58.333333333333336,latest_value,0.0243085351950365,ok,,insufficient_history,83.33333333333334,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,0.0372620380739081,ok,,insufficient_history,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
4,机器人,2026-06-26,70.625,62.5,62.5,75.0,75.0,,1.0,trial,试运行评分模式,0.26866362627681,ok,,insufficient_history,66.66666666666666,latest_value,-0.0586642259030685,ok,,insufficient_history,58.333333333333336,latest_value,1467.0,ok,,insufficient_history,75.0,latest_value,8483.0,ok,,insufficient_history,75.0,latest_value,0.1245783539127327,ok,,insufficient_history,,missing_config,,missing_config,,,market_volume_change_4w;nvd_cve_count_4w,,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
5,半导体,2026-06-26,59.375,100.0,100.0,37.5,37.5,,1.0,trial,试运行评分模式,0.7567649767668909,ok,,insufficient_history,100.0,latest_value,0.0633630185015208,ok,,insufficient_history,100.0,latest_value,249.0,ok,,insufficient_history,50.0,latest_value,2074.0,ok,,insufficient_history,25.0,latest_value,0.1871620156937283,ok,,insufficient_history,,missing_config,,missing_config,,,market_volume_change_4w;nvd_cve_count_4w,,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
6,物流供应链,2026-06-26,58.33333333333334,58.333333333333336,58.333333333333336,,,,0.35,trial,试运行评分模式,0.1243120176399961,ok,,insufficient_history,41.66666666666667,latest_value,-0.0343433089620551,ok,,insufficient_history,75.0,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,,insufficient_data,,insufficient_data,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_data; nvd_cve_count_4w:missing_config
7,新能源汽车,2026-06-26,54.166666666666664,54.166666666666664,54.166666666666664,,,,0.35,trial,试运行评分模式,0.3055847679392478,ok,,insufficient_history,75.0,latest_value,-0.0861597363644016,ok,,insufficient_history,33.33333333333333,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.1884201698291225,ok,,insufficient_history,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
8,医药健康,2026-06-26,36.666666666666664,58.33333333333333,58.33333333333333,25.0,25.0,,1.0,trial,试运行评分模式,0.0651723731157374,ok,,insufficient_history,25.0,latest_value,0.0340625764359698,ok,,insufficient_history,91.66666666666666,latest_value,14.0,ok,,insufficient_history,25.0,latest_value,,missing_config,,missing_config,,unavailable,1.9326816057774,ok,,insufficient_history,,missing_config,,missing_config,,github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
9,跨境电商,2026-06-26,29.16666666666667,29.166666666666668,29.166666666666668,,,,0.35,trial,试运行评分模式,-0.053391983504789,ok,,insufficient_history,16.666666666666664,latest_value,-0.0697531490677657,ok,,insufficient_history,41.66666666666667,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.1338456697868324,ok,,insufficient_history,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
10,低空经济,2026-06-26,29.166666666666664,29.166666666666664,29.166666666666664,,,,0.35,trial,试运行评分模式,0.1404073003684338,ok,,insufficient_history,50.0,latest_value,-0.1460674380900062,ok,,insufficient_history,8.333333333333332,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,0.9486951890811748,ok,,insufficient_history,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
