rank,industry,data_date,composite_score,capital_momentum,capital_momentum_score,tech_activity,tech_activity_score,external_signal_score,available_weight,ranking_status,scoring_mode,market_return_3m,market_return_3m_status,market_return_3m_growth_rate_4w,market_return_3m_momentum_status,market_return_3m_score,market_return_3m_score_source,market_return_4w,market_return_4w_status,market_return_4w_growth_rate_4w,market_return_4w_momentum_status,market_return_4w_score,market_return_4w_score_source,arxiv_paper_count_4w,arxiv_paper_count_4w_status,arxiv_paper_count_4w_growth_rate_4w,arxiv_paper_count_4w_momentum_status,arxiv_paper_count_4w_score,arxiv_paper_count_4w_score_source,github_repo_count_4w,github_repo_count_4w_status,github_repo_count_4w_growth_rate_4w,github_repo_count_4w_momentum_status,github_repo_count_4w_score,github_repo_count_4w_score_source,market_volume_change_4w,market_volume_change_4w_status,market_volume_change_4w_growth_rate_4w,market_volume_change_4w_momentum_status,nvd_cve_count_4w,nvd_cve_count_4w_status,nvd_cve_count_4w_growth_rate_4w,nvd_cve_count_4w_momentum_status,excluded_metrics,insufficient_metrics,auxiliary_metrics,missing_metrics,data_status
1,网络安全,2026-07-07,98.54166666666666,95.83333333333333,95.83333333333333,100.0,100.0,,1.0,trial,试运行评分模式,0.4162334857655621,ok,,insufficient_history,91.66666666666666,latest_value,0.1025599192547945,ok,,insufficient_history,100.0,latest_value,,missing_config,,missing_config,,unavailable,10895.0,ok,,insufficient_history,100.0,latest_value,-0.1787891226076492,ok,,insufficient_history,6589.0,ok,,insufficient_history,arxiv_paper_count_4w,arxiv_paper_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:insufficient_history
2,机器人,2026-07-07,75.0,75.0,75.0,75.0,75.0,,1.0,trial,试运行评分模式,0.1736111053396618,ok,,insufficient_history,75.0,latest_value,0.0385589186649892,ok,,insufficient_history,75.0,latest_value,,source_error,,source_error,,unavailable,8594.0,ok,,insufficient_history,75.0,latest_value,-0.1818265115143624,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:source_error; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
3,旅游,2026-07-07,70.83333333333333,70.83333333333333,70.83333333333333,,,,0.35,trial,试运行评分模式,0.0957343387762521,ok,,insufficient_history,50.0,latest_value,0.0770267601466907,ok,,insufficient_history,91.66666666666666,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.4419193097014925,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
4,医药健康,2026-07-07,58.33333333333334,58.333333333333336,58.333333333333336,,,,0.35,trial,试运行评分模式,0.0594901522279156,ok,,insufficient_history,33.33333333333333,latest_value,0.0533239377401428,ok,,insufficient_history,83.33333333333334,latest_value,,source_error,,source_error,,unavailable,,missing_config,,missing_config,,unavailable,3.315218109552834,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:source_error; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
5,人工智能,2026-07-07,54.375,62.50000000000001,62.50000000000001,50.0,50.0,,1.0,trial,试运行评分模式,0.2870968168657615,ok,,insufficient_history,83.33333333333334,latest_value,0.0107663126475394,ok,,insufficient_history,41.66666666666667,latest_value,4657.0,ok,,insufficient_history,,unavailable,4223.0,ok,,insufficient_history,50.0,latest_value,0.3653867108573925,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
6,低空经济,2026-07-07,45.83333333333334,45.833333333333336,45.833333333333336,,,,0.35,trial,试运行评分模式,0.0747633714462094,ok,,insufficient_history,41.66666666666667,latest_value,0.010979196543273,ok,,insufficient_history,50.0,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,0.4606136745574749,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
7,物流供应链,2026-07-07,45.83333333333333,45.83333333333333,45.83333333333333,,,,0.35,trial,试运行评分模式,0.1162356623600111,ok,,insufficient_history,58.333333333333336,latest_value,-0.007718619588805,ok,,insufficient_history,33.33333333333333,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,,insufficient_data,,insufficient_data,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_data; nvd_cve_count_4w:missing_config
8,半导体,2026-07-07,43.95833333333333,79.16666666666667,79.16666666666667,25.0,25.0,,1.0,trial,试运行评分模式,0.428875363204412,ok,,insufficient_history,100.0,latest_value,0.0224868916054639,ok,,insufficient_history,58.333333333333336,latest_value,246.0,ok,,insufficient_history,,unavailable,2047.0,ok,,insufficient_history,25.0,latest_value,0.1581377548929368,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
9,新能源汽车,2026-07-07,41.66666666666666,41.66666666666666,41.66666666666666,,,,0.35,trial,试运行评分模式,0.1595210225858179,ok,,insufficient_history,66.66666666666666,latest_value,-0.0244422511504079,ok,,insufficient_history,16.666666666666664,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.1061349129766627,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
9,跨境电商,2026-07-07,41.66666666666666,41.66666666666666,41.66666666666666,,,,0.35,trial,试运行评分模式,-0.0441176470588234,ok,,insufficient_history,16.666666666666664,latest_value,0.0353616002527739,ok,,insufficient_history,66.66666666666666,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.1373634175691936,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
