industry,date,metric,value,source,status
人工智能,2026-06-09,news_heat,1.0,Google News 中文科技,ok
人工智能,2026-06-23,news_heat,1.0,Google News 中文科技,ok
人工智能,2026-06-25,news_heat,1.0,Google News 中文科技,ok
人工智能,2026-06-26,news_heat,1.0,Google News 中文科技,ok
人工智能,2026-06-28,news_heat,1.0,Google News 中文科技,ok
人工智能,2026-06-29,market_return_3m,0.3565695186672379,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-06-29,market_return_4w,-0.0844025979535296,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-06-29,market_volume_change_4w,0.6352930204109266,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-06-29,news_heat,7.0,Google News 中文科技,ok
低空经济,2026-06-29,market_return_3m,0.1076563436018114,ARK Space Exploration & Innovation ETF (ARKX),ok
低空经济,2026-06-29,market_return_4w,-0.0962902016909327,ARK Space Exploration & Innovation ETF (ARKX),ok
低空经济,2026-06-29,market_volume_change_4w,0.7160702471883083,ARK Space Exploration & Innovation ETF (ARKX),ok
储能,2026-06-29,market_return_3m,0.0119681054276814,Amplify Lithium & Battery Technology ETF (BATT),ok
储能,2026-06-29,market_return_4w,-0.1401130163284122,Amplify Lithium & Battery Technology ETF (BATT),ok
储能,2026-06-29,market_volume_change_4w,-0.3568149922984768,Amplify Lithium & Battery Technology ETF (BATT),ok
医药健康,2026-06-29,market_return_3m,0.0620220746999742,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-06-29,market_return_4w,0.0920617907528236,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-06-29,market_volume_change_4w,2.662401814194577,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-06-29,news_heat,2.0,Google News 中文科技,ok
半导体,2026-06-29,market_return_3m,0.6123172143291307,VanEck Semiconductor ETF (SMH),ok
半导体,2026-06-29,market_return_4w,-0.0003638688029469,VanEck Semiconductor ETF (SMH),ok
半导体,2026-06-29,market_volume_change_4w,0.1976442427138078,VanEck Semiconductor ETF (SMH),ok
半导体,2026-06-29,news_heat,3.0,Google News 中文科技,ok
新能源汽车,2026-06-29,market_return_3m,0.2226528103433955,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-06-29,market_return_4w,-0.1113990297232465,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-06-29,market_volume_change_4w,-0.1156639844775437,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
旅游,2026-06-29,market_return_3m,0.1243060709933792,Amplify Travel Tech ETF (AWAY),ok
旅游,2026-06-29,market_return_4w,0.0290796907747217,Amplify Travel Tech ETF (AWAY),ok
旅游,2026-06-29,market_volume_change_4w,-0.0859249471458774,Amplify Travel Tech ETF (AWAY),ok
旅游,2026-06-29,news_heat,2.0,Google News 中文科技,ok
机器人,2026-06-29,market_return_3m,0.1890505025893603,ROBO Global Robotics and Automation Index ETF (ROBO),ok
机器人,2026-06-29,market_return_4w,-0.0768208445133723,ROBO Global Robotics and Automation Index ETF (ROBO),ok
机器人,2026-06-29,market_volume_change_4w,0.0064109853763678,ROBO Global Robotics and Automation Index ETF (ROBO),ok
机器人,2026-06-29,news_heat,1.0,Google News 中文科技,ok
消费零售,2026-06-29,market_return_3m,-0.2005050235519032,Global X MSCI China Consumer Discretionary ETF (CHIQ),ok
消费零售,2026-06-29,market_return_4w,-0.1624338495654929,Global X MSCI China Consumer Discretionary ETF (CHIQ),ok
消费零售,2026-06-29,market_volume_change_4w,-0.360382539091586,Global X MSCI China Consumer Discretionary ETF (CHIQ),ok
消费零售,2026-06-29,news_heat,1.0,Google News 中文科技,ok
物流供应链,2026-06-29,market_return_3m,0.103421943683976,Pacer Industrials and Logistics ETF (SHPP),ok
物流供应链,2026-06-29,market_return_4w,-0.0344740539177211,Pacer Industrials and Logistics ETF (SHPP),ok
物流供应链,2026-06-29,market_volume_change_4w,,Pacer Industrials and Logistics ETF (SHPP),insufficient_data
物流供应链,2026-06-29,news_heat,1.0,Google News 中文科技,ok
网络安全,2026-06-29,market_return_3m,0.4026303236302893,First Trust NASDAQ Cybersecurity ETF (CIBR),ok
网络安全,2026-06-29,market_return_4w,-0.0608979582320042,First Trust NASDAQ Cybersecurity ETF (CIBR),ok
网络安全,2026-06-29,market_volume_change_4w,-0.0195842394587409,First Trust NASDAQ Cybersecurity ETF (CIBR),ok
跨境电商,2026-06-29,market_return_3m,-0.0617977476025791,EMQQ The Emerging Markets Internet & Ecommerce ETF (EMQQ),ok
跨境电商,2026-06-29,market_return_4w,-0.0711063735153102,EMQQ The Emerging Markets Internet & Ecommerce ETF (EMQQ),ok
跨境电商,2026-06-29,market_volume_change_4w,-0.1846371120006041,EMQQ The Emerging Markets Internet & Ecommerce ETF (EMQQ),ok
跨境电商,2026-06-29,news_heat,1.0,Google News 中文科技,ok
人工智能,2026-06-30,arxiv_paper_count_4w,5058.0,arXiv API,ok
人工智能,2026-06-30,github_repo_count_4w,4134.0,GitHub Search API,ok
人工智能,2026-06-30,nvd_cve_count_4w,,NVD CVE API,missing_config
人工智能,2026-06-30,policy_heat,,configured_sources,missing_config
低空经济,2026-06-30,arxiv_paper_count_4w,,arXiv API,missing_config
低空经济,2026-06-30,github_repo_count_4w,,GitHub Search API,missing_config
低空经济,2026-06-30,news_heat,0.0,Google News 中文科技,no_match
低空经济,2026-06-30,nvd_cve_count_4w,,NVD CVE API,missing_config
低空经济,2026-06-30,policy_heat,,configured_sources,missing_config
储能,2026-06-30,arxiv_paper_count_4w,,arXiv API,missing_config
储能,2026-06-30,github_repo_count_4w,,GitHub Search API,missing_config
储能,2026-06-30,news_heat,0.0,Google News 中文科技,no_match
储能,2026-06-30,nvd_cve_count_4w,,NVD CVE API,missing_config
储能,2026-06-30,policy_heat,,configured_sources,missing_config
医药健康,2026-06-30,arxiv_paper_count_4w,,arXiv API,source_error
医药健康,2026-06-30,github_repo_count_4w,,GitHub Search API,missing_config
医药健康,2026-06-30,nvd_cve_count_4w,,NVD CVE API,missing_config
医药健康,2026-06-30,policy_heat,,configured_sources,missing_config
半导体,2026-06-30,arxiv_paper_count_4w,238.0,arXiv API,ok
半导体,2026-06-30,github_repo_count_4w,2051.0,GitHub Search API,ok
半导体,2026-06-30,nvd_cve_count_4w,,NVD CVE API,missing_config
半导体,2026-06-30,policy_heat,,configured_sources,missing_config
新能源汽车,2026-06-30,arxiv_paper_count_4w,,arXiv API,missing_config
新能源汽车,2026-06-30,github_repo_count_4w,,GitHub Search API,missing_config
新能源汽车,2026-06-30,news_heat,0.0,Google News 中文科技,no_match
新能源汽车,2026-06-30,nvd_cve_count_4w,,NVD CVE API,missing_config
新能源汽车,2026-06-30,policy_heat,,configured_sources,missing_config
旅游,2026-06-30,arxiv_paper_count_4w,,arXiv API,missing_config
旅游,2026-06-30,github_repo_count_4w,,GitHub Search API,missing_config
旅游,2026-06-30,nvd_cve_count_4w,,NVD CVE API,missing_config
旅游,2026-06-30,policy_heat,,configured_sources,missing_config
机器人,2026-06-30,arxiv_paper_count_4w,,arXiv API,source_error
机器人,2026-06-30,github_repo_count_4w,8533.0,GitHub Search API,ok
机器人,2026-06-30,nvd_cve_count_4w,,NVD CVE API,missing_config
机器人,2026-06-30,policy_heat,,configured_sources,missing_config
消费零售,2026-06-30,arxiv_paper_count_4w,,arXiv API,missing_config
消费零售,2026-06-30,github_repo_count_4w,,GitHub Search API,missing_config
消费零售,2026-06-30,nvd_cve_count_4w,,NVD CVE API,missing_config
消费零售,2026-06-30,policy_heat,,configured_sources,missing_config
物流供应链,2026-06-30,arxiv_paper_count_4w,,arXiv API,missing_config
物流供应链,2026-06-30,github_repo_count_4w,,GitHub Search API,missing_config
物流供应链,2026-06-30,nvd_cve_count_4w,,NVD CVE API,missing_config
物流供应链,2026-06-30,policy_heat,,configured_sources,missing_config
网络安全,2026-06-30,arxiv_paper_count_4w,,arXiv API,missing_config
网络安全,2026-06-30,github_repo_count_4w,10759.0,GitHub Search API,ok
网络安全,2026-06-30,news_heat,0.0,Google News 中文科技,no_match
网络安全,2026-06-30,nvd_cve_count_4w,6765.0,NVD CVE API,ok
网络安全,2026-06-30,policy_heat,,configured_sources,missing_config
跨境电商,2026-06-30,arxiv_paper_count_4w,,arXiv API,missing_config
跨境电商,2026-06-30,github_repo_count_4w,,GitHub Search API,missing_config
跨境电商,2026-06-30,nvd_cve_count_4w,,NVD CVE API,missing_config
跨境电商,2026-06-30,policy_heat,,configured_sources,missing_config
