industry,date,metric,value,source,status
物流供应链,2026-04-08,news_heat,1.0,Google News 中文科技,ok
人工智能,2026-05-03,news_heat,1.0,Google News 中文科技,ok
人工智能,2026-06-09,news_heat,1.0,Google News 中文科技,ok
人工智能,2026-06-23,news_heat,1.0,Google News 中文科技,ok
物流供应链,2026-06-24,market_return_3m,0.1243120176399961,Pacer Industrials and Logistics ETF (SHPP),ok
物流供应链,2026-06-24,market_return_4w,-0.0343433089620551,Pacer Industrials and Logistics ETF (SHPP),ok
物流供应链,2026-06-24,market_volume_change_4w,,Pacer Industrials and Logistics ETF (SHPP),insufficient_data
跨境电商,2026-06-24,news_heat,1.0,Google News 中文科技,ok
人工智能,2026-06-25,market_return_3m,0.4332291660277603,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-06-25,market_return_4w,-0.0466428907290956,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-06-25,market_volume_change_4w,0.7373997427483139,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-06-25,news_heat,12.0,Google News 中文科技,ok
低空经济,2026-06-25,market_return_3m,0.1404073003684338,ARK Space Exploration & Innovation ETF (ARKX),ok
低空经济,2026-06-25,market_return_4w,-0.1460674380900062,ARK Space Exploration & Innovation ETF (ARKX),ok
低空经济,2026-06-25,market_volume_change_4w,0.9486951890811748,ARK Space Exploration & Innovation ETF (ARKX),ok
储能,2026-06-25,market_return_3m,0.0755773216647375,Amplify Lithium & Battery Technology ETF (BATT),ok
储能,2026-06-25,market_return_4w,-0.1115606610760401,Amplify Lithium & Battery Technology ETF (BATT),ok
储能,2026-06-25,market_volume_change_4w,-0.3466635253801671,Amplify Lithium & Battery Technology ETF (BATT),ok
储能,2026-06-25,news_heat,1.0,Google News 中文科技,ok
医药健康,2026-06-25,market_return_3m,0.0651723731157374,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-06-25,market_return_4w,0.0340625764359698,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-06-25,market_volume_change_4w,1.9326816057774,iShares Global Healthcare ETF (IXJ),ok
半导体,2026-06-25,market_return_3m,0.7567649767668909,VanEck Semiconductor ETF (SMH),ok
半导体,2026-06-25,market_return_4w,0.0633630185015208,VanEck Semiconductor ETF (SMH),ok
半导体,2026-06-25,market_volume_change_4w,0.1871620156937283,VanEck Semiconductor ETF (SMH),ok
半导体,2026-06-25,news_heat,7.0,Google News 中文科技,ok
新能源汽车,2026-06-25,market_return_3m,0.3055847679392478,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-06-25,market_return_4w,-0.0861597363644016,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-06-25,market_volume_change_4w,-0.1884201698291225,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-06-25,news_heat,1.0,Google News 中文科技,ok
旅游,2026-06-25,market_return_3m,0.1445161142656881,Amplify Travel Tech ETF (AWAY),ok
旅游,2026-06-25,market_return_4w,0.0243085351950365,Amplify Travel Tech ETF (AWAY),ok
旅游,2026-06-25,market_volume_change_4w,0.0372620380739081,Amplify Travel Tech ETF (AWAY),ok
机器人,2026-06-25,market_return_3m,0.26866362627681,ROBO Global Robotics and Automation Index ETF (ROBO),ok
机器人,2026-06-25,market_return_4w,-0.0586642259030685,ROBO Global Robotics and Automation Index ETF (ROBO),ok
机器人,2026-06-25,market_volume_change_4w,0.1245783539127327,ROBO Global Robotics and Automation Index ETF (ROBO),ok
机器人,2026-06-25,news_heat,1.0,Google News 中文科技,ok
消费零售,2026-06-25,market_return_3m,-0.1821019339940248,Global X MSCI China Consumer Discretionary ETF (CHIQ),ok
消费零售,2026-06-25,market_return_4w,-0.1295680657868431,Global X MSCI China Consumer Discretionary ETF (CHIQ),ok
消费零售,2026-06-25,market_volume_change_4w,-0.3791534787901489,Global X MSCI China Consumer Discretionary ETF (CHIQ),ok
网络安全,2026-06-25,market_return_3m,0.3762132324748894,First Trust NASDAQ Cybersecurity ETF (CIBR),ok
