industry,date,metric,value,source,status
人工智能,2026-04-08,news_heat,1.0,Google News 中文科技,ok
物流供应链,2026-04-08,news_heat,1.0,Google News 中文科技,ok
人工智能,2026-06-09,news_heat,1.0,Google News 中文科技,ok
物流供应链,2026-06-16,market_return_3m,0.1305604067295207,Pacer Industrials and Logistics ETF (SHPP),ok
物流供应链,2026-06-16,market_return_4w,0.0200272872818061,Pacer Industrials and Logistics ETF (SHPP),ok
物流供应链,2026-06-16,market_volume_change_4w,,Pacer Industrials and Logistics ETF (SHPP),insufficient_data
人工智能,2026-06-17,market_return_3m,0.3580325793031449,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-06-17,market_return_4w,0.0274716691253114,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-06-17,market_volume_change_4w,0.6403688748931222,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-06-17,news_heat,6.0,Google News 中文科技,ok
低空经济,2026-06-17,market_return_3m,0.1446102407352358,ARK Space Exploration & Innovation ETF (ARKX),ok
低空经济,2026-06-17,market_return_4w,0.0014509355307288,ARK Space Exploration & Innovation ETF (ARKX),ok
低空经济,2026-06-17,market_volume_change_4w,1.3796692742331669,ARK Space Exploration & Innovation ETF (ARKX),ok
储能,2026-06-17,market_return_3m,0.2081514307127834,Amplify Lithium & Battery Technology ETF (BATT),ok
储能,2026-06-17,market_return_4w,-0.0041991418418626,Amplify Lithium & Battery Technology ETF (BATT),ok
储能,2026-06-17,market_volume_change_4w,-0.2272153565246668,Amplify Lithium & Battery Technology ETF (BATT),ok
医药健康,2026-06-17,market_return_3m,0.0328120055437608,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-06-17,market_return_4w,0.0031870834155467,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-06-17,market_volume_change_4w,0.8454962755665156,iShares Global Healthcare ETF (IXJ),ok
半导体,2026-06-17,market_return_3m,0.6217965029395993,VanEck Semiconductor ETF (SMH),ok
半导体,2026-06-17,market_return_4w,0.0987708060471106,VanEck Semiconductor ETF (SMH),ok
半导体,2026-06-17,market_volume_change_4w,0.0595983012679426,VanEck Semiconductor ETF (SMH),ok
半导体,2026-06-17,news_heat,3.0,Google News 中文科技,ok
新能源汽车,2026-06-17,market_return_3m,0.3361050171075903,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-06-17,market_return_4w,-0.0077355838887979,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-06-17,market_volume_change_4w,-0.023373232412134,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
旅游,2026-06-17,market_return_3m,0.1315043236845909,Amplify Travel Tech ETF (AWAY),ok
旅游,2026-06-17,market_return_4w,0.0774775342391997,Amplify Travel Tech ETF (AWAY),ok
旅游,2026-06-17,market_volume_change_4w,0.786780905752754,Amplify Travel Tech ETF (AWAY),ok
机器人,2026-06-17,market_return_3m,0.2314012661771987,ROBO Global Robotics and Automation Index ETF (ROBO),ok
机器人,2026-06-17,market_return_4w,-0.0154856842785688,ROBO Global Robotics and Automation Index ETF (ROBO),ok
机器人,2026-06-17,market_volume_change_4w,0.5605334463760265,ROBO Global Robotics and Automation Index ETF (ROBO),ok
机器人,2026-06-17,news_heat,4.0,Google News 中文科技,ok
消费零售,2026-06-17,market_return_3m,-0.1233229872623945,Global X MSCI China Consumer Discretionary ETF (CHIQ),ok
消费零售,2026-06-17,market_return_4w,-0.0991516849796401,Global X MSCI China Consumer Discretionary ETF (CHIQ),ok
消费零售,2026-06-17,market_volume_change_4w,0.4458285773198913,Global X MSCI China Consumer Discretionary ETF (CHIQ),ok
消费零售,2026-06-17,news_heat,1.0,Google News 中文科技,ok
物流供应链,2026-06-17,news_heat,2.0,Google News 中文科技,ok
网络安全,2026-06-17,market_return_3m,0.3177646880274061,First Trust NASDAQ Cybersecurity ETF (CIBR),ok
网络安全,2026-06-17,market_return_4w,0.0253195592503969,First Trust NASDAQ Cybersecurity ETF (CIBR),ok
网络安全,2026-06-17,market_volume_change_4w,0.1967646299535472,First Trust NASDAQ Cybersecurity ETF (CIBR),ok
跨境电商,2026-06-17,market_return_3m,-0.0216183057396112,EMQQ The Emerging Markets Internet & Ecommerce ETF (EMQQ),ok
跨境电商,2026-06-17,market_return_4w,-0.036496372383124,EMQQ The Emerging Markets Internet & Ecommerce ETF (EMQQ),ok
跨境电商,2026-06-17,market_volume_change_4w,0.2891893161077572,EMQQ The Emerging Markets Internet & Ecommerce ETF (EMQQ),ok
人工智能,2026-06-18,arxiv_paper_count_4w,6329.0,arXiv API,ok
人工智能,2026-06-18,github_repo_count_4w,4030.0,GitHub Search API,ok
人工智能,2026-06-18,nvd_cve_count_4w,,NVD CVE API,missing_config
人工智能,2026-06-18,policy_heat,,configured_sources,missing_config
低空经济,2026-06-18,arxiv_paper_count_4w,,arXiv API,missing_config
低空经济,2026-06-18,github_repo_count_4w,,GitHub Search API,missing_config
低空经济,2026-06-18,news_heat,0.0,Google News 中文科技,no_match
低空经济,2026-06-18,nvd_cve_count_4w,,NVD CVE API,missing_config
低空经济,2026-06-18,policy_heat,,configured_sources,missing_config
储能,2026-06-18,arxiv_paper_count_4w,,arXiv API,missing_config
储能,2026-06-18,github_repo_count_4w,,GitHub Search API,missing_config
储能,2026-06-18,news_heat,0.0,Google News 中文科技,no_match
储能,2026-06-18,nvd_cve_count_4w,,NVD CVE API,missing_config
储能,2026-06-18,policy_heat,,configured_sources,missing_config
医药健康,2026-06-18,arxiv_paper_count_4w,14.0,arXiv API,ok
医药健康,2026-06-18,github_repo_count_4w,,GitHub Search API,missing_config
医药健康,2026-06-18,news_heat,0.0,Google News 中文科技,no_match
医药健康,2026-06-18,nvd_cve_count_4w,,NVD CVE API,missing_config
医药健康,2026-06-18,policy_heat,,configured_sources,missing_config
半导体,2026-06-18,arxiv_paper_count_4w,244.0,arXiv API,ok
半导体,2026-06-18,github_repo_count_4w,2033.0,GitHub Search API,ok
半导体,2026-06-18,nvd_cve_count_4w,,NVD CVE API,missing_config
半导体,2026-06-18,policy_heat,,configured_sources,missing_config
新能源汽车,2026-06-18,arxiv_paper_count_4w,,arXiv API,missing_config
新能源汽车,2026-06-18,github_repo_count_4w,,GitHub Search API,missing_config
新能源汽车,2026-06-18,news_heat,0.0,Google News 中文科技,no_match
新能源汽车,2026-06-18,nvd_cve_count_4w,,NVD CVE API,missing_config
新能源汽车,2026-06-18,policy_heat,,configured_sources,missing_config
旅游,2026-06-18,arxiv_paper_count_4w,,arXiv API,missing_config
旅游,2026-06-18,github_repo_count_4w,,GitHub Search API,missing_config
旅游,2026-06-18,news_heat,0.0,Google News 中文科技,no_match
旅游,2026-06-18,nvd_cve_count_4w,,NVD CVE API,missing_config
旅游,2026-06-18,policy_heat,,configured_sources,missing_config
机器人,2026-06-18,arxiv_paper_count_4w,1391.0,arXiv API,ok
机器人,2026-06-18,github_repo_count_4w,7959.0,GitHub Search API,ok
机器人,2026-06-18,nvd_cve_count_4w,,NVD CVE API,missing_config
机器人,2026-06-18,policy_heat,,configured_sources,missing_config
消费零售,2026-06-18,arxiv_paper_count_4w,,arXiv API,missing_config
消费零售,2026-06-18,github_repo_count_4w,,GitHub Search API,missing_config
消费零售,2026-06-18,nvd_cve_count_4w,,NVD CVE API,missing_config
消费零售,2026-06-18,policy_heat,,configured_sources,missing_config
物流供应链,2026-06-18,arxiv_paper_count_4w,,arXiv API,missing_config
物流供应链,2026-06-18,github_repo_count_4w,,GitHub Search API,missing_config
物流供应链,2026-06-18,nvd_cve_count_4w,,NVD CVE API,missing_config
物流供应链,2026-06-18,policy_heat,,configured_sources,missing_config
网络安全,2026-06-18,arxiv_paper_count_4w,,arXiv API,missing_config
网络安全,2026-06-18,github_repo_count_4w,10491.0,GitHub Search API,ok
网络安全,2026-06-18,news_heat,0.0,Google News 中文科技,no_match
网络安全,2026-06-18,nvd_cve_count_4w,,NVD CVE API,source_error
网络安全,2026-06-18,policy_heat,,configured_sources,missing_config
跨境电商,2026-06-18,arxiv_paper_count_4w,,arXiv API,missing_config
跨境电商,2026-06-18,github_repo_count_4w,,GitHub Search API,missing_config
跨境电商,2026-06-18,news_heat,0.0,Google News 中文科技,no_match
跨境电商,2026-06-18,nvd_cve_count_4w,,NVD CVE API,missing_config
跨境电商,2026-06-18,policy_heat,,configured_sources,missing_config
