industry,date,metric,value,source,status
人工智能,2026-07-09,news_heat,1.0,Google News 中文科技,ok
物流供应链,2026-07-09,market_return_3m,0.0774094421728823,Pacer Industrials and Logistics ETF (SHPP),ok
物流供应链,2026-07-09,market_return_4w,-0.0020453394349468,Pacer Industrials and Logistics ETF (SHPP),ok
物流供应链,2026-07-09,market_volume_change_4w,,Pacer Industrials and Logistics ETF (SHPP),insufficient_data
人工智能,2026-07-10,market_return_3m,0.254250619416914,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-07-10,market_return_4w,-0.0467318449652074,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-07-10,market_volume_change_4w,0.0040564386303556,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-07-10,news_heat,8.0,Google News 中文科技,ok
低空经济,2026-07-10,market_return_3m,0.0003120574671506,ARK Space Exploration & Innovation ETF (ARKX),ok
低空经济,2026-07-10,market_return_4w,-0.0889710358431901,ARK Space Exploration & Innovation ETF (ARKX),ok
低空经济,2026-07-10,market_volume_change_4w,-0.085429102686329,ARK Space Exploration & Innovation ETF (ARKX),ok
储能,2026-07-10,market_return_3m,-0.1010410058933919,Amplify Lithium & Battery Technology ETF (BATT),ok
储能,2026-07-10,market_return_4w,-0.133923324813468,Amplify Lithium & Battery Technology ETF (BATT),ok
储能,2026-07-10,market_volume_change_4w,-0.5266899519483939,Amplify Lithium & Battery Technology ETF (BATT),ok
医药健康,2026-07-10,market_return_3m,0.0535763202484316,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-07-10,market_return_4w,0.0461878853616517,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-07-10,market_volume_change_4w,2.326262230566487,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-07-10,news_heat,1.0,Google News 中文科技,ok
半导体,2026-07-10,market_return_3m,0.378242509911467,VanEck Semiconductor ETF (SMH),ok
半导体,2026-07-10,market_return_4w,-0.0557409174005946,VanEck Semiconductor ETF (SMH),ok
半导体,2026-07-10,market_volume_change_4w,0.0579520716310923,VanEck Semiconductor ETF (SMH),ok
半导体,2026-07-10,news_heat,2.0,Google News 中文科技,ok
新能源汽车,2026-07-10,market_return_3m,0.0889182963958372,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-07-10,market_return_4w,-0.0996158209425528,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-07-10,market_volume_change_4w,-0.1825944594021107,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-07-10,news_heat,1.0,Google News 中文科技,ok
旅游,2026-07-10,market_return_3m,0.1063505495142915,Amplify Travel Tech ETF (AWAY),ok
旅游,2026-07-10,market_return_4w,0.0397029944359288,Amplify Travel Tech ETF (AWAY),ok
