rank,industry,data_date,composite_score,capital_momentum,capital_momentum_score,tech_activity,tech_activity_score,external_signal_score,available_weight,ranking_status,scoring_mode,market_return_3m,market_return_3m_status,market_return_3m_growth_rate_4w,market_return_3m_momentum_status,market_return_3m_score,market_return_3m_score_source,market_return_4w,market_return_4w_status,market_return_4w_growth_rate_4w,market_return_4w_momentum_status,market_return_4w_score,market_return_4w_score_source,arxiv_paper_count_4w,arxiv_paper_count_4w_status,arxiv_paper_count_4w_growth_rate_4w,arxiv_paper_count_4w_momentum_status,arxiv_paper_count_4w_score,arxiv_paper_count_4w_score_source,github_repo_count_4w,github_repo_count_4w_status,github_repo_count_4w_growth_rate_4w,github_repo_count_4w_momentum_status,github_repo_count_4w_score,github_repo_count_4w_score_source,market_volume_change_4w,market_volume_change_4w_status,market_volume_change_4w_growth_rate_4w,market_volume_change_4w_momentum_status,nvd_cve_count_4w,nvd_cve_count_4w_status,nvd_cve_count_4w_growth_rate_4w,nvd_cve_count_4w_momentum_status,excluded_metrics,insufficient_metrics,auxiliary_metrics,missing_metrics,data_status
1,网络安全,2026-07-03,95.625,87.5,87.5,100.0,100.0,,1.0,trial,试运行评分模式,0.4144010119069012,ok,,insufficient_history,91.66666666666666,latest_value,0.0466894212861557,ok,,insufficient_history,83.33333333333334,latest_value,,missing_config,,missing_config,,unavailable,10895.0,ok,,insufficient_history,100.0,latest_value,-0.1525536661430945,ok,,insufficient_history,7079.0,ok,,insufficient_history,arxiv_paper_count_4w,arxiv_paper_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:insufficient_history
2,旅游,2026-07-03,79.16666666666667,79.16666666666667,79.16666666666667,,,,0.35,trial,试运行评分模式,0.1402152835564378,ok,,insufficient_history,58.333333333333336,latest_value,0.0757309244390109,ok,,insufficient_history,100.0,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.2364006259780907,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
3,机器人,2026-07-03,72.08333333333333,66.66666666666667,66.66666666666667,75.0,75.0,,1.0,trial,试运行评分模式,0.1929899509197459,ok,,insufficient_history,75.0,latest_value,0.0001199584619806,ok,,insufficient_history,58.333333333333336,latest_value,,source_error,,source_error,,unavailable,8573.0,ok,,insufficient_history,75.0,latest_value,-0.0322326014208765,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:source_error; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
4,医药健康,2026-07-03,62.49999999999999,62.49999999999999,62.49999999999999,,,,0.35,trial,试运行评分模式,0.0923481669361618,ok,,insufficient_history,33.33333333333333,latest_value,0.0712162503582714,ok,,insufficient_history,91.66666666666666,latest_value,,source_error,,source_error,,unavailable,,missing_config,,missing_config,,unavailable,3.4166684185379834,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:source_error; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
5,人工智能,2026-07-03,54.375,62.50000000000001,62.50000000000001,50.0,50.0,,1.0,trial,试运行评分模式,0.295287926159604,ok,,insufficient_history,83.33333333333334,latest_value,-0.0107166023470394,ok,,insufficient_history,41.66666666666667,latest_value,5262.0,ok,,insufficient_history,,unavailable,4208.0,ok,,insufficient_history,50.0,latest_value,0.4915950810434555,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
6,半导体,2026-07-03,46.875,87.5,87.5,25.0,25.0,,1.0,trial,试运行评分模式,0.4957572644943271,ok,,insufficient_history,100.0,latest_value,0.0396706550739618,ok,,insufficient_history,75.0,latest_value,259.0,ok,,insufficient_history,,unavailable,2029.0,ok,,insufficient_history,25.0,latest_value,0.304814726049782,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
7,低空经济,2026-07-03,45.83333333333334,45.833333333333336,45.833333333333336,,,,0.35,trial,试运行评分模式,0.1023595935351653,ok,,insufficient_history,41.66666666666667,latest_value,-0.0049941826988915,ok,,insufficient_history,50.0,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,0.6000213169210702,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
8,物流供应链,2026-07-03,41.666666666666664,41.666666666666664,41.666666666666664,,,,0.35,trial,试运行评分模式,0.1070595225817752,ok,,insufficient_history,50.0,latest_value,-0.0244326158566612,ok,,insufficient_history,33.33333333333333,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,,insufficient_data,,insufficient_data,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_data; nvd_cve_count_4w:missing_config
9,新能源汽车,2026-07-03,41.66666666666666,41.66666666666666,41.66666666666666,,,,0.35,trial,试运行评分模式,0.1849720747236447,ok,,insufficient_history,66.66666666666666,latest_value,-0.0467755585755471,ok,,insufficient_history,16.666666666666664,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.0804768664902884,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
9,跨境电商,2026-07-03,41.66666666666666,41.66666666666666,41.66666666666666,,,,0.35,trial,试运行评分模式,-0.0217458180287841,ok,,insufficient_history,16.666666666666664,latest_value,0.0155802785129206,ok,,insufficient_history,66.66666666666666,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.1679374458362876,ok,,insufficient_history,,missing_config,,missing_config,arxiv_paper_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
