rank,industry,data_date,composite_score,capital_momentum,capital_momentum_score,tech_activity,tech_activity_score,external_signal_score,available_weight,ranking_status,scoring_mode,market_return_3m,market_return_3m_status,market_return_3m_growth_rate_4w,market_return_3m_momentum_status,market_return_3m_score,market_return_3m_score_source,market_return_4w,market_return_4w_status,market_return_4w_growth_rate_4w,market_return_4w_momentum_status,market_return_4w_score,market_return_4w_score_source,arxiv_paper_count_4w,arxiv_paper_count_4w_status,arxiv_paper_count_4w_growth_rate_4w,arxiv_paper_count_4w_momentum_status,arxiv_paper_count_4w_score,arxiv_paper_count_4w_score_source,github_repo_count_4w,github_repo_count_4w_status,github_repo_count_4w_growth_rate_4w,github_repo_count_4w_momentum_status,github_repo_count_4w_score,github_repo_count_4w_score_source,market_volume_change_4w,market_volume_change_4w_status,market_volume_change_4w_growth_rate_4w,market_volume_change_4w_momentum_status,nvd_cve_count_4w,nvd_cve_count_4w_status,nvd_cve_count_4w_growth_rate_4w,nvd_cve_count_4w_momentum_status,excluded_metrics,insufficient_metrics,auxiliary_metrics,missing_metrics,data_status
1,网络安全,2026-06-27,86.875,62.50000000000001,62.50000000000001,100.0,100.0,,1.0,trial,试运行评分模式,0.4053858167187349,ok,,insufficient_history,83.33333333333334,latest_value,-0.092582003995839,ok,,insufficient_history,41.66666666666667,latest_value,,missing_config,,missing_config,,unavailable,10685.0,ok,,insufficient_history,100.0,latest_value,0.0487952331327319,ok,,insufficient_history,7100.0,ok,,insufficient_history,,arxiv_paper_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:insufficient_history
2,旅游,2026-06-27,75.0,75.0,75.0,,,,0.35,trial,试运行评分模式,0.1583806930049773,ok,,insufficient_history,58.333333333333336,latest_value,0.0108603547333594,ok,,insufficient_history,91.66666666666666,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.0346516730663741,ok,,insufficient_history,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
3,人工智能,2026-06-27,73.54166666666666,70.83333333333333,70.83333333333333,75.0,75.0,,1.0,trial,试运行评分模式,0.4102278527768748,ok,,insufficient_history,91.66666666666666,latest_value,-0.09058180723474,ok,,insufficient_history,50.0,latest_value,5747.0,ok,,insufficient_history,100.0,latest_value,4188.0,ok,,insufficient_history,50.0,latest_value,0.739713286901468,ok,,insufficient_history,,missing_config,,missing_config,,,market_volume_change_4w;nvd_cve_count_4w,,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
4,机器人,2026-06-27,70.625,62.5,62.5,75.0,75.0,,1.0,trial,试运行评分模式,0.2467691072726334,ok,,insufficient_history,66.66666666666666,latest_value,-0.0845149014247641,ok,,insufficient_history,58.333333333333336,latest_value,1511.0,ok,,insufficient_history,75.0,latest_value,8569.0,ok,,insufficient_history,75.0,latest_value,0.0758607636286772,ok,,insufficient_history,,missing_config,,missing_config,,,market_volume_change_4w;nvd_cve_count_4w,,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
5,物流供应链,2026-06-27,62.50000000000001,62.5,62.5,,,,0.35,trial,试运行评分模式,0.1409238512367918,ok,,insufficient_history,50.0,latest_value,-0.0230294071145712,ok,,insufficient_history,75.0,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,,insufficient_data,,insufficient_data,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_data; nvd_cve_count_4w:missing_config
6,半导体,2026-06-27,56.458333333333336,91.66666666666667,91.66666666666667,37.5,37.5,,1.0,trial,试运行评分模式,0.687060346484325,ok,,insufficient_history,100.0,latest_value,0.0062519336770245,ok,,insufficient_history,83.33333333333334,latest_value,257.0,ok,,insufficient_history,50.0,latest_value,2076.0,ok,,insufficient_history,25.0,latest_value,0.1964063617241003,ok,,insufficient_history,,missing_config,,missing_config,,,market_volume_change_4w;nvd_cve_count_4w,,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
7,新能源汽车,2026-06-27,54.166666666666664,54.166666666666664,54.166666666666664,,,,0.35,trial,试运行评分模式,0.2725604820813061,ok,,insufficient_history,75.0,latest_value,-0.1087178634465005,ok,,insufficient_history,33.33333333333333,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.0830215458276334,ok,,insufficient_history,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
8,跨境电商,2026-06-27,41.66666666666666,41.66666666666666,41.66666666666666,,,,0.35,trial,试运行评分模式,-0.0373743884533522,ok,,insufficient_history,16.666666666666664,latest_value,-0.0686721434020167,ok,,insufficient_history,66.66666666666666,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.1886980504760466,ok,,insufficient_history,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
9,医药健康,2026-06-27,39.58333333333333,66.66666666666666,66.66666666666666,25.0,25.0,,1.0,trial,试运行评分模式,0.0874963314426033,ok,,insufficient_history,33.33333333333333,latest_value,0.072993235488046,ok,,insufficient_history,100.0,latest_value,14.0,ok,,insufficient_history,25.0,latest_value,,missing_config,,missing_config,,unavailable,2.279221328382838,ok,,insufficient_history,,missing_config,,missing_config,,github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
10,低空经济,2026-06-27,33.333333333333336,33.333333333333336,33.333333333333336,,,,0.35,trial,试运行评分模式,0.1407645790023606,ok,,insufficient_history,41.66666666666667,latest_value,-0.1224405172975062,ok,,insufficient_history,25.0,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,0.8126630318102122,ok,,insufficient_history,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
