rank,industry,data_date,composite_score,capital_momentum,capital_momentum_score,tech_activity,tech_activity_score,external_signal_score,available_weight,ranking_status,scoring_mode,market_return_3m,market_return_3m_status,market_return_3m_growth_rate_4w,market_return_3m_momentum_status,market_return_3m_score,market_return_3m_score_source,market_return_4w,market_return_4w_status,market_return_4w_growth_rate_4w,market_return_4w_momentum_status,market_return_4w_score,market_return_4w_score_source,arxiv_paper_count_4w,arxiv_paper_count_4w_status,arxiv_paper_count_4w_growth_rate_4w,arxiv_paper_count_4w_momentum_status,arxiv_paper_count_4w_score,arxiv_paper_count_4w_score_source,github_repo_count_4w,github_repo_count_4w_status,github_repo_count_4w_growth_rate_4w,github_repo_count_4w_momentum_status,github_repo_count_4w_score,github_repo_count_4w_score_source,market_volume_change_4w,market_volume_change_4w_status,market_volume_change_4w_growth_rate_4w,market_volume_change_4w_momentum_status,nvd_cve_count_4w,nvd_cve_count_4w_status,nvd_cve_count_4w_growth_rate_4w,nvd_cve_count_4w_momentum_status,excluded_metrics,insufficient_metrics,auxiliary_metrics,missing_metrics,data_status
1,网络安全,2026-06-18,91.25,75.0,75.0,100.0,100.0,,1.0,trial,试运行评分模式,0.3177646880274061,ok,,insufficient_history,75.0,latest_value,0.0253195592503969,ok,,insufficient_history,75.0,latest_value,,missing_config,,missing_config,,unavailable,10491.0,ok,,insufficient_history,100.0,latest_value,0.1967646299535472,ok,,insufficient_history,,source_error,,source_error,,arxiv_paper_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:source_error
2,人工智能,2026-06-18,79.375,87.5,87.5,75.0,75.0,,1.0,trial,试运行评分模式,0.3580325793031449,ok,,insufficient_history,91.66666666666666,latest_value,0.0274716691253114,ok,,insufficient_history,83.33333333333334,latest_value,6329.0,ok,,insufficient_history,100.0,latest_value,4030.0,ok,,insufficient_history,50.0,latest_value,0.6403688748931222,ok,,insufficient_history,,missing_config,,missing_config,,,market_volume_change_4w;nvd_cve_count_4w,,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
3,旅游,2026-06-18,66.66666666666666,66.66666666666666,66.66666666666666,,,,0.35,trial,试运行评分模式,0.1315043236845909,ok,,insufficient_history,41.66666666666667,latest_value,0.0774775342391997,ok,,insufficient_history,91.66666666666666,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,0.786780905752754,ok,,insufficient_history,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
4,机器人,2026-06-18,64.79166666666666,45.83333333333333,45.83333333333333,75.0,75.0,,1.0,trial,试运行评分模式,0.2314012661771987,ok,,insufficient_history,66.66666666666666,latest_value,-0.0154856842785688,ok,,insufficient_history,25.0,latest_value,1391.0,ok,,insufficient_history,75.0,latest_value,7959.0,ok,,insufficient_history,75.0,latest_value,0.5605334463760265,ok,,insufficient_history,,missing_config,,missing_config,,,market_volume_change_4w;nvd_cve_count_4w,,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
5,半导体,2026-06-18,59.375,100.0,100.0,37.5,37.5,,1.0,trial,试运行评分模式,0.6217965029395993,ok,,insufficient_history,100.0,latest_value,0.0987708060471106,ok,,insufficient_history,100.0,latest_value,244.0,ok,,insufficient_history,50.0,latest_value,2033.0,ok,,insufficient_history,25.0,latest_value,0.0595983012679426,ok,,insufficient_history,,missing_config,,missing_config,,,market_volume_change_4w;nvd_cve_count_4w,,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:insufficient_history; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
6,新能源汽车,2026-06-18,58.33333333333334,58.333333333333336,58.333333333333336,,,,0.35,trial,试运行评分模式,0.3361050171075903,ok,,insufficient_history,83.33333333333334,latest_value,-0.0077355838887979,ok,,insufficient_history,33.33333333333333,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.023373232412134,ok,,insufficient_history,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
7,低空经济,2026-06-18,50.0,50.0,50.0,,,,0.35,trial,试运行评分模式,0.1446102407352358,ok,,insufficient_history,50.0,latest_value,0.0014509355307288,ok,,insufficient_history,50.0,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,1.3796692742331669,ok,,insufficient_history,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
7,储能,2026-06-18,50.0,50.0,50.0,,,,0.35,trial,试运行评分模式,0.2081514307127834,ok,,insufficient_history,58.333333333333336,latest_value,-0.0041991418418626,ok,,insufficient_history,41.66666666666667,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,-0.2272153565246668,ok,,insufficient_history,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
9,物流供应链,2026-06-18,49.99999999999999,49.99999999999999,49.99999999999999,,,,0.35,trial,试运行评分模式,0.1305604067295207,ok,,insufficient_history,33.33333333333333,latest_value,0.0200272872818061,ok,,insufficient_history,66.66666666666666,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,,insufficient_data,,insufficient_data,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_data; nvd_cve_count_4w:missing_config
10,医药健康,2026-06-18,30.833333333333336,41.66666666666667,41.66666666666667,25.0,25.0,,1.0,trial,试运行评分模式,0.0328120055437608,ok,,insufficient_history,25.0,latest_value,0.0031870834155467,ok,,insufficient_history,58.333333333333336,latest_value,14.0,ok,,insufficient_history,25.0,latest_value,,missing_config,,missing_config,,unavailable,0.8454962755665156,ok,,insufficient_history,,missing_config,,missing_config,,github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:insufficient_history; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
11,跨境电商,2026-06-18,16.666666666666664,16.666666666666664,16.666666666666664,,,,0.35,trial,试运行评分模式,-0.0216183057396112,ok,,insufficient_history,16.666666666666664,latest_value,-0.036496372383124,ok,,insufficient_history,16.666666666666664,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,0.2891893161077572,ok,,insufficient_history,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
12,消费零售,2026-06-18,8.333333333333332,8.333333333333332,8.333333333333332,,,,0.35,trial,试运行评分模式,-0.1233229872623945,ok,,insufficient_history,8.333333333333332,latest_value,-0.0991516849796401,ok,,insufficient_history,8.333333333333332,latest_value,,missing_config,,missing_config,,unavailable,,missing_config,,missing_config,,unavailable,0.4458285773198913,ok,,insufficient_history,,missing_config,,missing_config,,arxiv_paper_count_4w;github_repo_count_4w,market_volume_change_4w;nvd_cve_count_4w,arxiv_paper_count_4w;github_repo_count_4w,market_return_3m:insufficient_history; market_return_4w:insufficient_history; arxiv_paper_count_4w:missing_config; github_repo_count_4w:missing_config; market_volume_change_4w:insufficient_history; nvd_cve_count_4w:missing_config
