industry,date,metric,value,source,status
人工智能,2026-06-09,news_heat,1.0,Google News 中文科技,ok
物流供应链,2026-06-17,market_return_3m,0.1226063095327658,Pacer Industrials and Logistics ETF (SHPP),ok
物流供应链,2026-06-17,market_return_4w,-0.0089394536958639,Pacer Industrials and Logistics ETF (SHPP),ok
物流供应链,2026-06-17,market_volume_change_4w,,Pacer Industrials and Logistics ETF (SHPP),insufficient_data
人工智能,2026-06-18,market_return_3m,0.3767519048130834,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-06-18,market_return_4w,0.0635249417485841,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-06-18,market_volume_change_4w,0.6264547991170606,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-06-18,news_heat,5.0,Google News 中文科技,ok
低空经济,2026-06-18,market_return_3m,0.1279374041034391,ARK Space Exploration & Innovation ETF (ARKX),ok
低空经济,2026-06-18,market_return_4w,-0.0242799785463654,ARK Space Exploration & Innovation ETF (ARKX),ok
低空经济,2026-06-18,market_volume_change_4w,1.5032812662979549,ARK Space Exploration & Innovation ETF (ARKX),ok
储能,2026-06-18,market_return_3m,0.1483021028683455,Amplify Lithium & Battery Technology ETF (BATT),ok
储能,2026-06-18,market_return_4w,-0.0083781805696523,Amplify Lithium & Battery Technology ETF (BATT),ok
储能,2026-06-18,market_volume_change_4w,-0.2330040191545647,Amplify Lithium & Battery Technology ETF (BATT),ok
医药健康,2026-06-18,market_return_3m,0.0225052854796738,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-06-18,market_return_4w,-0.0110246992153457,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-06-18,market_volume_change_4w,1.0296269437470986,iShares Global Healthcare ETF (IXJ),ok
半导体,2026-06-18,market_return_3m,0.6861202718260424,VanEck Semiconductor ETF (SMH),ok
半导体,2026-06-18,market_return_4w,0.1449888889794965,VanEck Semiconductor ETF (SMH),ok
半导体,2026-06-18,market_volume_change_4w,0.0850258346223327,VanEck Semiconductor ETF (SMH),ok
半导体,2026-06-18,news_heat,4.0,Google News 中文科技,ok
新能源汽车,2026-06-18,market_return_3m,0.3268770057868355,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-06-18,market_return_4w,-0.0071327901775767,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-06-18,market_volume_change_4w,-0.0214951443274594,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
旅游,2026-06-18,market_return_3m,0.1063816925460872,Amplify Travel Tech ETF (AWAY),ok
旅游,2026-06-18,market_return_4w,0.0947489954078271,Amplify Travel Tech ETF (AWAY),ok
旅游,2026-06-18,market_volume_change_4w,0.8130580624550754,Amplify Travel Tech ETF (AWAY),ok
机器人,2026-06-18,market_return_3m,0.2241992882562278,ROBO Global Robotics and Automation Index ETF (ROBO),ok
