industry,date,metric,value,source,status
人工智能,2026-06-09,news_heat,1.0,Google News 中文科技,ok
人工智能,2026-06-15,news_heat,1.0,Google News 中文科技,ok
物流供应链,2026-06-22,market_return_3m,0.1015746187944235,Pacer Industrials and Logistics ETF (SHPP),ok
物流供应链,2026-06-22,market_return_4w,-0.0250643046070139,Pacer Industrials and Logistics ETF (SHPP),ok
物流供应链,2026-06-22,market_volume_change_4w,,Pacer Industrials and Logistics ETF (SHPP),insufficient_data
人工智能,2026-06-23,market_return_3m,0.3650075130877981,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-06-23,market_return_4w,-0.0268817210601881,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-06-23,market_volume_change_4w,0.8033257354206089,Global X Artificial Intelligence & Technology ETF (AIQ),ok
人工智能,2026-06-23,news_heat,8.0,Google News 中文科技,ok
低空经济,2026-06-23,market_return_3m,0.0980916744394153,ARK Space Exploration & Innovation ETF (ARKX),ok
低空经济,2026-06-23,market_return_4w,-0.0987773368728245,ARK Space Exploration & Innovation ETF (ARKX),ok
低空经济,2026-06-23,market_volume_change_4w,1.0437695029958407,ARK Space Exploration & Innovation ETF (ARKX),ok
储能,2026-06-23,market_return_3m,0.1112676017555398,Amplify Lithium & Battery Technology ETF (BATT),ok
储能,2026-06-23,market_return_4w,-0.0814901366318844,Amplify Lithium & Battery Technology ETF (BATT),ok
储能,2026-06-23,market_volume_change_4w,-0.2217152635181383,Amplify Lithium & Battery Technology ETF (BATT),ok
医药健康,2026-06-23,market_return_3m,0.0356206983711648,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-06-23,market_return_4w,0.0162611688950635,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-06-23,market_volume_change_4w,1.5296072420729954,iShares Global Healthcare ETF (IXJ),ok
医药健康,2026-06-23,news_heat,4.0,Google News 中文科技,ok
半导体,2026-06-23,market_return_3m,0.6333630757654736,VanEck Semiconductor ETF (SMH),ok
半导体,2026-06-23,market_return_4w,0.0445843623727435,VanEck Semiconductor ETF (SMH),ok
半导体,2026-06-23,market_volume_change_4w,0.1729263396469078,VanEck Semiconductor ETF (SMH),ok
半导体,2026-06-23,news_heat,6.0,Google News 中文科技,ok
新能源汽车,2026-06-23,market_return_3m,0.2811768602579838,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-06-23,market_return_4w,-0.0735905336776804,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
新能源汽车,2026-06-23,market_volume_change_4w,-0.1016028655802252,Global X Autonomous & Electric Vehicles ETF (DRIV),ok
旅游,2026-06-23,market_return_3m,0.0889151792469074,Amplify Travel Tech ETF (AWAY),ok
旅游,2026-06-23,market_return_4w,0.0481867516994922,Amplify Travel Tech ETF (AWAY),ok
旅游,2026-06-23,market_volume_change_4w,0.592721335268505,Amplify Travel Tech ETF (AWAY),ok
旅游,2026-06-23,news_heat,1.0,Google News 中文科技,ok
机器人,2026-06-23,market_return_3m,0.2006961158791753,ROBO Global Robotics and Automation Index ETF (ROBO),ok
机器人,2026-06-23,market_return_4w,-0.0660951992815668,ROBO Global Robotics and Automation Index ETF (ROBO),ok
机器人,2026-06-23,market_volume_change_4w,0.347358062074186,ROBO Global Robotics and Automation Index ETF (ROBO),ok
